"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 04:11:54 UTC 2023","Sun Jul 23 04:12:22 UTC 2023","27124","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Jul 23 06:01:50 UTC 2023","Sun Jul 23 06:01:51 UTC 2023","336","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Jul 23 05:16:47 UTC 2023","Sun Jul 23 05:16:52 UTC 2023","4414","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Jul 23 06:32:44 UTC 2023","Sun Jul 23 06:32:44 UTC 2023","211","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Jul 23 05:16:26 UTC 2023","Sun Jul 23 05:16:33 UTC 2023","7022","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Jul 23 06:18:15 UTC 2023","Sun Jul 23 06:18:19 UTC 2023","4035","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sun Jul 23 04:11:43 UTC 2023","Sun Jul 23 04:11:54 UTC 2023","11225","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sun Jul 23 06:01:47 UTC 2023","Sun Jul 23 06:01:50 UTC 2023","3317","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Jul 23 06:38:26 UTC 2023","Sun Jul 23 06:38:31 UTC 2023","4396","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"failed","Sun Jul 23 05:21:20 UTC 2023","Sun Jul 23 05:23:50 UTC 2023","150313","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Jul 23 06:40:35 UTC 2023","Sun Jul 23 06:41:12 UTC 2023","36440","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sun Jul 23 06:39:12 UTC 2023","Sun Jul 23 06:40:18 UTC 2023","66297","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Jul 23 06:18:47 UTC 2023","Sun Jul 23 06:18:59 UTC 2023","11927","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sun Jul 23 06:40:18 UTC 2023","Sun Jul 23 06:40:25 UTC 2023","6295","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sun Jul 23 06:18:08 UTC 2023","Sun Jul 23 06:18:12 UTC 2023","3525","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Jul 23 04:17:56 UTC 2023","Sun Jul 23 04:18:06 UTC 2023","9277","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Jul 23 06:32:38 UTC 2023","Sun Jul 23 06:32:44 UTC 2023","6024","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Jul 23 06:37:59 UTC 2023","Sun Jul 23 06:38:26 UTC 2023","27349","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Jul 23 06:52:04 UTC 2023","Sun Jul 23 06:52:06 UTC 2023","2585","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sun Jul 23 06:04:32 UTC 2023","Sun Jul 23 06:04:33 UTC 2023","1505","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Jul 23 06:10:40 UTC 2023","Sun Jul 23 06:10:43 UTC 2023","3052","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Jul 23 04:14:04 UTC 2023","Sun Jul 23 04:14:54 UTC 2023","49903","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Jul 23 05:43:52 UTC 2023","Sun Jul 23 05:44:12 UTC 2023","20025","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Jul 23 06:18:04 UTC 2023","Sun Jul 23 06:18:08 UTC 2023","4067","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Jul 23 06:04:05 UTC 2023","Sun Jul 23 06:04:25 UTC 2023","20168","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Jul 23 05:55:51 UTC 2023","Sun Jul 23 05:56:14 UTC 2023","22352","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Jul 23 06:32:55 UTC 2023","Sun Jul 23 06:32:59 UTC 2023","3905","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sun Jul 23 06:18:22 UTC 2023","Sun Jul 23 06:18:28 UTC 2023","5597","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Jul 23 06:21:43 UTC 2023","Sun Jul 23 06:26:10 UTC 2023","267317","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Jul 23 04:18:29 UTC 2023","Sun Jul 23 04:18:37 UTC 2023","7668","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"failed","Sun Jul 23 05:17:08 UTC 2023","Sun Jul 23 05:19:54 UTC 2023","165883","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Jul 23 06:29:26 UTC 2023","Sun Jul 23 06:29:48 UTC 2023","21342","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Jul 23 04:13:59 UTC 2023","Sun Jul 23 04:14:04 UTC 2023","5316","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sun Jul 23 06:51:19 UTC 2023","Sun Jul 23 06:51:31 UTC 2023","12591","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Jul 23 04:18:37 UTC 2023","Sun Jul 23 04:18:49 UTC 2023","11981","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Jul 23 05:57:27 UTC 2023","Sun Jul 23 05:57:28 UTC 2023","1031","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Jul 23 06:51:17 UTC 2023","Sun Jul 23 06:51:19 UTC 2023","1626","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Jul 23 06:34:56 UTC 2023","Sun Jul 23 06:35:08 UTC 2023","11868","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Jul 23 06:11:16 UTC 2023","Sun Jul 23 06:11:50 UTC 2023","34768","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sun Jul 23 04:20:27 UTC 2023","Sun Jul 23 04:20:37 UTC 2023","10199","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Jul 23 05:16:36 UTC 2023","Sun Jul 23 05:16:47 UTC 2023","11501","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Jul 23 06:50:56 UTC 2023","Sun Jul 23 06:51:13 UTC 2023","16438","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Jul 23 06:32:59 UTC 2023","Sun Jul 23 06:32:59 UTC 2023","696","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sun Jul 23 06:18:59 UTC 2023","Sun Jul 23 06:19:01 UTC 2023","2092","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"failed","Sun Jul 23 05:19:54 UTC 2023","Sun Jul 23 05:21:20 UTC 2023","85778","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Jul 23 05:57:13 UTC 2023","Sun Jul 23 05:57:15 UTC 2023","1713","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Jul 23 06:10:44 UTC 2023","Sun Jul 23 06:11:13 UTC 2023","28993","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sun Jul 23 05:37:25 UTC 2023","Sun Jul 23 05:37:45 UTC 2023","19638","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Jul 23 06:17:49 UTC 2023","Sun Jul 23 06:18:04 UTC 2023","14833","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Jul 23 04:12:51 UTC 2023","Sun Jul 23 04:12:54 UTC 2023","2857","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Jul 23 05:38:52 UTC 2023","Sun Jul 23 05:38:58 UTC 2023","6557","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Jul 23 05:56:16 UTC 2023","Sun Jul 23 05:56:28 UTC 2023","12108","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Jul 23 06:32:44 UTC 2023","Sun Jul 23 06:32:55 UTC 2023","10252","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Jul 23 06:40:25 UTC 2023","Sun Jul 23 06:40:34 UTC 2023","8910","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sun Jul 23 06:51:32 UTC 2023","Sun Jul 23 06:52:03 UTC 2023","31889","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Jul 23 06:01:51 UTC 2023","Sun Jul 23 06:02:10 UTC 2023","18871","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Sun Jul 23 04:10:37 UTC 2023","Sun Jul 23 04:10:37 UTC 2023","1","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Jul 23 05:37:45 UTC 2023","Sun Jul 23 05:37:55 UTC 2023","10286","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Jul 23 06:18:12 UTC 2023","Sun Jul 23 06:18:15 UTC 2023","3417","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Jul 23 06:29:58 UTC 2023","Sun Jul 23 06:30:00 UTC 2023","2582","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sun Jul 23 05:38:32 UTC 2023","Sun Jul 23 05:38:35 UTC 2023","2885","","6. Company Account","","","","6. Review Review Page",""
"passed","Sun Jul 23 06:29:48 UTC 2023","Sun Jul 23 06:29:58 UTC 2023","9927","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Jul 23 06:10:24 UTC 2023","Sun Jul 23 06:10:40 UTC 2023","15625","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Jul 23 06:18:20 UTC 2023","Sun Jul 23 06:18:22 UTC 2023","2760","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Jul 23 06:33:00 UTC 2023","Sun Jul 23 06:33:00 UTC 2023","661","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Jul 23 06:37:55 UTC 2023","Sun Jul 23 06:37:59 UTC 2023","3396","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sun Jul 23 04:20:37 UTC 2023","Sun Jul 23 04:20:38 UTC 2023","768","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Jul 23 05:57:15 UTC 2023","Sun Jul 23 05:57:27 UTC 2023","12099","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Jul 23 05:56:15 UTC 2023","Sun Jul 23 05:56:16 UTC 2023","1227","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sun Jul 23 04:20:23 UTC 2023","Sun Jul 23 04:20:27 UTC 2023","4240","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Jul 23 05:56:28 UTC 2023","Sun Jul 23 05:57:10 UTC 2023","41601","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Jul 23 06:37:47 UTC 2023","Sun Jul 23 06:37:55 UTC 2023","8645","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sun Jul 23 04:10:47 UTC 2023","Sun Jul 23 04:11:11 UTC 2023","24557","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sun Jul 23 06:30:00 UTC 2023","Sun Jul 23 06:30:05 UTC 2023","4439","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Jul 23 06:21:23 UTC 2023","Sun Jul 23 06:21:43 UTC 2023","19750","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sun Jul 23 06:37:28 UTC 2023","Sun Jul 23 06:37:47 UTC 2023","18885","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Jul 23 05:38:13 UTC 2023","Sun Jul 23 05:38:18 UTC 2023","5408","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Jul 23 04:10:37 UTC 2023","Sun Jul 23 04:10:47 UTC 2023","10289","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Jul 23 04:09:54 UTC 2023","Sun Jul 23 04:10:27 UTC 2023","33373","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Jul 23 05:37:55 UTC 2023","Sun Jul 23 05:37:59 UTC 2023","3885","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Jul 23 04:20:27 UTC 2023","Sun Jul 23 04:20:27 UTC 2023","158","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Jul 23 06:10:43 UTC 2023","Sun Jul 23 06:10:44 UTC 2023","1162","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Jul 23 04:10:27 UTC 2023","Sun Jul 23 04:10:37 UTC 2023","9310","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Jul 23 05:38:58 UTC 2023","Sun Jul 23 05:38:59 UTC 2023","501","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Jul 23 06:32:20 UTC 2023","Sun Jul 23 06:32:38 UTC 2023","18076","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Jul 23 05:37:59 UTC 2023","Sun Jul 23 05:38:12 UTC 2023","13273","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Jul 23 06:40:34 UTC 2023","Sun Jul 23 06:40:35 UTC 2023","1397","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Jul 23 04:11:20 UTC 2023","Sun Jul 23 04:11:43 UTC 2023","23126","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sun Jul 23 04:11:11 UTC 2023","Sun Jul 23 04:11:20 UTC 2023","8511","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sun Jul 23 06:11:14 UTC 2023","Sun Jul 23 06:11:16 UTC 2023","2031","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sun Jul 23 06:14:40 UTC 2023","Sun Jul 23 06:15:27 UTC 2023","46391","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Jul 23 04:13:40 UTC 2023","Sun Jul 23 04:13:59 UTC 2023","19314","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Jul 23 05:17:06 UTC 2023","Sun Jul 23 05:17:08 UTC 2023","2126","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Jul 23 05:57:10 UTC 2023","Sun Jul 23 05:57:13 UTC 2023","3657","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Jul 23 06:18:28 UTC 2023","Sun Jul 23 06:18:47 UTC 2023","18449","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sun Jul 23 06:37:55 UTC 2023","Sun Jul 23 06:37:55 UTC 2023","24","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sun Jul 23 06:04:27 UTC 2023","Sun Jul 23 06:04:32 UTC 2023","4884","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Jul 23 04:18:08 UTC 2023","Sun Jul 23 04:18:29 UTC 2023","20561","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Jul 23 05:16:33 UTC 2023","Sun Jul 23 05:16:36 UTC 2023","3068","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Jul 23 06:38:31 UTC 2023","Sun Jul 23 06:38:34 UTC 2023","3539","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sun Jul 23 06:51:13 UTC 2023","Sun Jul 23 06:51:17 UTC 2023","3749","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Jul 23 06:39:09 UTC 2023","Sun Jul 23 06:39:12 UTC 2023","2423","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sun Jul 23 04:10:27 UTC 2023","Sun Jul 23 04:10:27 UTC 2023","64","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sun Jul 23 06:35:08 UTC 2023","Sun Jul 23 06:35:34 UTC 2023","26009","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Jul 23 05:16:10 UTC 2023","Sun Jul 23 05:16:26 UTC 2023","16058","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Jul 23 05:38:35 UTC 2023","Sun Jul 23 05:38:52 UTC 2023","16788","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Jul 23 04:17:35 UTC 2023","Sun Jul 23 04:17:56 UTC 2023","21553","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Jul 23 06:01:26 UTC 2023","Sun Jul 23 06:01:47 UTC 2023","20952","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun Jul 23 06:04:25 UTC 2023","Sun Jul 23 06:04:27 UTC 2023","1403","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Jul 23 06:41:12 UTC 2023","Sun Jul 23 06:42:05 UTC 2023","53553","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Jul 23 05:46:42 UTC 2023","Sun Jul 23 05:47:03 UTC 2023","20821","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sun Jul 23 04:18:06 UTC 2023","Sun Jul 23 04:18:08 UTC 2023","2749","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
